Tage,MeinungA
1,3.002
2,3.005
3,3.016
4,3.032
5,3.054
6,3.065
7,3.082
8,3.103
9,3.129
10,3.161
11,3.191
12,3.223
13,3.258
14,3.296
15,3.337
16,3.377
17,3.412
18,3.436
19,3.479
20,3.513
21,3.554
22,3.587
23,3.629
24,3.668
25,3.706
26,3.76
27,3.805
28,3.874
29,3.92
30,3.97
31,4.023
32,4.091
33,4.156
34,4.231
35,4.302
36,4.353
37,4.416
38,4.496
39,4.568
40,4.65
41,4.747
42,4.834
43,4.947
44,5.059
45,5.154
46,5.267
47,5.375
48,5.487
49,5.619
50,5.755
51,5.899
52,6.036
53,6.16
54,6.306
55,6.454
56,6.614
57,6.805
58,6.966
59,7.159
60,7.347
61,7.539
62,7.769
63,7.994
64,8.211
65,8.458
66,8.693
67,8.954
68,9.229
69,9.532
70,9.804
71,10.124
72,10.44
73,10.718
74,11.032
75,11.367
76,11.717
77,12.073
78,12.394
79,12.748
80,13.114
81,13.517
82,13.88
83,14.312
84,14.743
85,15.13
86,15.532
87,15.958
88,16.396
89,16.843
90,17.289
91,17.774
92,18.232
93,18.701
94,19.177
95,19.668
96,20.135
97,20.617
98,21.09
99,21.611
100,22.107
101,22.608
102,23.131
103,23.644
104,24.139
105,24.659
106,25.149
107,25.656
108,26.136
109,26.645
110,27.162
111,27.681
112,28.159
113,28.635
114,29.076
115,29.593
116,30.082
117,30.591
118,31.062
119,31.533
120,31.995
121,32.432
122,32.888
123,33.308
124,33.732
125,34.177
126,34.594
127,35.008
128,35.39
129,35.78
130,36.167
131,36.503
132,36.883
133,37.268
134,37.649
135,37.999
136,38.369
137,38.688
138,39.016
139,39.336
140,39.674
141,39.984
142,40.277
143,40.581
144,40.874
145,41.151
146,41.433
147,41.737
148,42.023
149,42.283
150,42.529
151,42.782
152,43.032
153,43.247
154,43.475
155,43.708
156,43.926
157,44.117
158,44.287
159,44.486
160,44.683
161,44.872
162,45.042
163,45.227
164,45.395
165,45.576
166,45.728
167,45.871
168,46.01
169,46.154
170,46.283
171,46.399
172,46.524
173,46.652
174,46.76
175,46.842
176,46.942
177,47.04
178,47.127
179,47.213
180,47.309
181,47.409
182,47.489
183,47.574
184,47.635
185,47.725
186,47.802
187,47.878
188,47.947
189,48.009
190,48.055
191,48.124
192,48.188
193,48.229
194,48.276
195,48.328
196,48.368
197,48.428
198,48.486
199,48.521
200,48.573
