Tage,MeinungA
1,0.983
2,1.984
3,2.966
4,3.929
5,4.81
6,5.734
7,6.604
8,7.482
9,8.379
10,9.23
11,10.035
12,10.844
13,11.565
14,12.362
15,13.079
16,13.811
17,14.539
18,15.261
19,15.94
20,16.606
21,17.335
22,17.988
23,18.642
24,19.227
25,19.807
26,20.37
27,20.95
28,21.531
29,22.11
30,22.686
31,23.273
32,23.8
33,24.324
34,24.827
35,25.323
36,25.814
37,26.325
38,26.778
39,27.185
40,27.631
41,28.091
42,28.472
43,28.906
44,29.311
45,29.751
46,30.171
47,30.556
48,30.904
49,31.281
50,31.666
51,32.014
52,32.388
53,32.752
54,33.048
55,33.408
56,33.728
57,34.036
58,34.343
59,34.642
60,34.93
61,35.232
62,35.533
63,35.83
64,36.104
65,36.374
66,36.611
67,36.877
68,37.149
69,37.411
70,37.664
71,37.905
72,38.144
73,38.366
74,38.629
75,38.851
76,39.096
77,39.312
78,39.507
79,39.728
80,39.962
81,40.197
82,40.409
83,40.602
84,40.785
85,40.985
86,41.163
87,41.337
88,41.503
89,41.662
90,41.829
91,42.021
92,42.191
93,42.363
94,42.522
95,42.682
96,42.82
97,42.972
98,43.121
99,43.245
100,43.381
101,43.517
102,43.628
103,43.754
104,43.899
105,44.021
106,44.129
107,44.244
108,44.345
109,44.474
110,44.58
111,44.685
112,44.769
113,44.883
114,44.984
115,45.088
116,45.191
117,45.291
118,45.372
119,45.468
120,45.564
121,45.643
122,45.733
123,45.812
124,45.905
125,45.983
126,46.061
127,46.129
128,46.214
129,46.283
130,46.345
131,46.419
132,46.473
133,46.545
134,46.627
135,46.687
136,46.754
137,46.81
138,46.868
139,46.927
140,46.98
141,47.033
142,47.088
143,47.137
144,47.169
145,47.219
146,47.262
147,47.32
148,47.367
149,47.431
150,47.486
151,47.543
152,47.601
153,47.647
154,47.692
155,47.738
156,47.792
157,47.834
158,47.877
159,47.928
160,47.974
161,48.007
162,48.05
163,48.089
164,48.124
165,48.172
166,48.21
167,48.235
168,48.273
169,48.314
170,48.349
171,48.382
172,48.42
173,48.455
174,48.486
175,48.516
176,48.553
177,48.591
178,48.626
179,48.65
180,48.681
181,48.705
182,48.732
183,48.754
184,48.774
185,48.797
186,48.822
187,48.852
188,48.881
189,48.904
190,48.923
191,48.938
192,48.952
193,48.971
194,48.994
195,49.017
196,49.035
197,49.061
198,49.084
199,49.1
200,49.117
